time_float,time_date
40318.00 ,2010-5-20
40319.00 ,2010-5-21
40320.00 ,2010-5-22
40321.00 ,2010-5-23
40322.00 ,2010-5-24
40323.00 ,2010-5-25
40324.00 ,2010-5-26
40325.00 ,2010-5-27
40326.00 ,2010-5-28
40327.00 ,2010-5-29
40328.00 ,2010-5-30
40329.00 ,2010-5-31
40330.00 ,2010-6-1
40331.00 ,2010-6-2
40332.00 ,2010-6-3
40333.00 ,2010-6-4
40334.00 ,2010-6-5
40335.00 ,2010-6-6
40336.00 ,2010-6-7
40337.00 ,2010-6-8
40338.00 ,2010-6-9
40339.00 ,2010-6-10
40340.00 ,2010-6-11
40341.00 ,2010-6-12
40342.00 ,2010-6-13
40343.00 ,2010-6-14
40344.00 ,2010-6-15
40345.00 ,2010-6-16
40346.00 ,2010-6-17
40347.00 ,2010-6-18
40348.00 ,2010-6-19
40349.00 ,2010-6-20
40350.00 ,2010-6-21
40351.00 ,2010-6-22
40352.00 ,2010-6-23
40353.00 ,2010-6-24
40354.00 ,2010-6-25
40355.00 ,2010-6-26
40356.00 ,2010-6-27
40357.00 ,2010-6-28
40358.00 ,2010-6-29
40359.00 ,2010-6-30
40360.00 ,2010-7-1
40361.00 ,2010-7-2
40362.00 ,2010-7-3
40363.00 ,2010-7-4
40364.00 ,2010-7-5
40365.00 ,2010-7-6
40366.00 ,2010-7-7
40367.00 ,2010-7-8
40368.00 ,2010-7-9
40369.00 ,2010-7-10
40370.00 ,2010-7-11
40371.00 ,2010-7-12
40372.00 ,2010-7-13
40373.00 ,2010-7-14
40374.00 ,2010-7-15
40375.00 ,2010-7-16
40376.00 ,2010-7-17
40377.00 ,2010-7-18
40378.00 ,2010-7-19
40379.00 ,2010-7-20
40380.00 ,2010-7-21
40381.00 ,2010-7-22
40382.00 ,2010-7-23
40383.00 ,2010-7-24
40384.00 ,2010-7-25
40385.00 ,2010-7-26
40386.00 ,2010-7-27
40387.00 ,2010-7-28
40388.00 ,2010-7-29
40389.00 ,2010-7-30
40390.00 ,2010-7-31
40391.00 ,2010-8-1
40392.00 ,2010-8-2
40393.00 ,2010-8-3
40394.00 ,2010-8-4
40395.00 ,2010-8-5
40396.00 ,2010-8-6
40397.00 ,2010-8-7
40398.00 ,2010-8-8
40399.00 ,2010-8-9
40400.00 ,2010-8-10
40401.00 ,2010-8-11
40402.00 ,2010-8-12
40403.00 ,2010-8-13
40404.00 ,2010-8-14
40405.00 ,2010-8-15
40406.00 ,2010-8-16
40407.00 ,2010-8-17
40408.00 ,2010-8-18
40409.00 ,2010-8-19
40410.00 ,2010-8-20
40411.00 ,2010-8-21
40412.00 ,2010-8-22
40413.00 ,2010-8-23
40414.00 ,2010-8-24
40415.00 ,2010-8-25
40416.00 ,2010-8-26
40417.00 ,2010-8-27
40418.00 ,2010-8-28
40419.00 ,2010-8-29
40420.00 ,2010-8-30
40421.00 ,2010-8-31
40422.00 ,2010-9-1
40423.00 ,2010-9-2
40424.00 ,2010-9-3
40425.00 ,2010-9-4
40426.00 ,2010-9-5
40427.00 ,2010-9-6
40428.00 ,2010-9-7
40429.00 ,2010-9-8
40430.00 ,2010-9-9
40431.00 ,2010-9-10
40432.00 ,2010-9-11
40433.00 ,2010-9-12
40434.00 ,2010-9-13
40435.00 ,2010-9-14
40436.00 ,2010-9-15
40437.00 ,2010-9-16
40438.00 ,2010-9-17
40439.00 ,2010-9-18
40440.00 ,2010-9-19
40441.00 ,2010-9-20
40442.00 ,2010-9-21
40443.00 ,2010-9-22
40444.00 ,2010-9-23
40445.00 ,2010-9-24
40446.00 ,2010-9-25
40447.00 ,2010-9-26
40448.00 ,2010-9-27
40449.00 ,2010-9-28
40450.00 ,2010-9-29
40451.00 ,2010-9-30
40452.00 ,2010-10-1
40453.00 ,2010-10-2
40454.00 ,2010-10-3
40455.00 ,2010-10-4
40456.00 ,2010-10-5
40457.00 ,2010-10-6
40458.00 ,2010-10-7
40459.00 ,2010-10-8
40460.00 ,2010-10-9
40461.00 ,2010-10-10
40462.00 ,2010-10-11
40463.00 ,2010-10-12
40464.00 ,2010-10-13
40465.00 ,2010-10-14
40466.00 ,2010-10-15
40467.00 ,2010-10-16
40468.00 ,2010-10-17
40469.00 ,2010-10-18
40470.00 ,2010-10-19
40471.00 ,2010-10-20
40472.00 ,2010-10-21
40473.00 ,2010-10-22
40474.00 ,2010-10-23
40475.00 ,2010-10-24
40476.00 ,2010-10-25
40477.00 ,2010-10-26
40478.00 ,2010-10-27
40479.00 ,2010-10-28
40480.00 ,2010-10-29
40481.00 ,2010-10-30
40482.00 ,2010-10-31
40483.00 ,2010-11-1
40484.00 ,2010-11-2
40485.00 ,2010-11-3
40486.00 ,2010-11-4
40487.00 ,2010-11-5
40488.00 ,2010-11-6
40489.00 ,2010-11-7
40490.00 ,2010-11-8
40491.00 ,2010-11-9
40492.00 ,2010-11-10
40493.00 ,2010-11-11
40494.00 ,2010-11-12
40495.00 ,2010-11-13
40496.00 ,2010-11-14
40497.00 ,2010-11-15
40498.00 ,2010-11-16
40499.00 ,2010-11-17
40500.00 ,2010-11-18
40501.00 ,2010-11-19
40502.00 ,2010-11-20
40503.00 ,2010-11-21
40504.00 ,2010-11-22
40505.00 ,2010-11-23
40506.00 ,2010-11-24
40507.00 ,2010-11-25
40508.00 ,2010-11-26
40509.00 ,2010-11-27
40510.00 ,2010-11-28
40511.00 ,2010-11-29
40512.00 ,2010-11-30
40513.00 ,2010-12-1
40514.00 ,2010-12-2
40515.00 ,2010-12-3
40516.00 ,2010-12-4
40517.00 ,2010-12-5
40518.00 ,2010-12-6
40519.00 ,2010-12-7
40520.00 ,2010-12-8
40521.00 ,2010-12-9
40522.00 ,2010-12-10
40523.00 ,2010-12-11
40524.00 ,2010-12-12
40525.00 ,2010-12-13
40526.00 ,2010-12-14
40527.00 ,2010-12-15
40528.00 ,2010-12-16
40529.00 ,2010-12-17
40530.00 ,2010-12-18
40531.00 ,2010-12-19
40532.00 ,2010-12-20
40533.00 ,2010-12-21
40534.00 ,2010-12-22
40535.00 ,2010-12-23
40536.00 ,2010-12-24
40537.00 ,2010-12-25
40538.00 ,2010-12-26
40539.00 ,2010-12-27
40540.00 ,2010-12-28
40541.00 ,2010-12-29
40542.00 ,2010-12-30
40543.00 ,2010-12-31
40544.00 ,2011-1-1
40545.00 ,2011-1-2
40546.00 ,2011-1-3
40547.00 ,2011-1-4
40548.00 ,2011-1-5
40549.00 ,2011-1-6
40550.00 ,2011-1-7
40551.00 ,2011-1-8
40552.00 ,2011-1-9
40553.00 ,2011-1-10
40554.00 ,2011-1-11
40555.00 ,2011-1-12
40556.00 ,2011-1-13
40557.00 ,2011-1-14
40558.00 ,2011-1-15
40559.00 ,2011-1-16
40560.00 ,2011-1-17
40561.00 ,2011-1-18
40562.00 ,2011-1-19
40563.00 ,2011-1-20
40564.00 ,2011-1-21
40565.00 ,2011-1-22
40566.00 ,2011-1-23
40567.00 ,2011-1-24
40568.00 ,2011-1-25
40569.00 ,2011-1-26
40570.00 ,2011-1-27
40571.00 ,2011-1-28
40572.00 ,2011-1-29
40573.00 ,2011-1-30
40574.00 ,2011-1-31
40575.00 ,2011-2-1
40576.00 ,2011-2-2
40577.00 ,2011-2-3
40578.00 ,2011-2-4
40579.00 ,2011-2-5
40580.00 ,2011-2-6
40581.00 ,2011-2-7
40582.00 ,2011-2-8
40583.00 ,2011-2-9
40584.00 ,2011-2-10
40585.00 ,2011-2-11
40586.00 ,2011-2-12
40587.00 ,2011-2-13
40588.00 ,2011-2-14
40589.00 ,2011-2-15
40590.00 ,2011-2-16
40591.00 ,2011-2-17
40592.00 ,2011-2-18
40593.00 ,2011-2-19
40594.00 ,2011-2-20
40595.00 ,2011-2-21
40596.00 ,2011-2-22
40597.00 ,2011-2-23
40598.00 ,2011-2-24
40599.00 ,2011-2-25
40600.00 ,2011-2-26
40601.00 ,2011-2-27
40602.00 ,2011-2-28
40603.00 ,2011-3-1
40604.00 ,2011-3-2
40605.00 ,2011-3-3
40606.00 ,2011-3-4
40607.00 ,2011-3-5
40608.00 ,2011-3-6
40609.00 ,2011-3-7
40610.00 ,2011-3-8
40611.00 ,2011-3-9
40612.00 ,2011-3-10
40613.00 ,2011-3-11
40614.00 ,2011-3-12
40615.00 ,2011-3-13
40616.00 ,2011-3-14
40617.00 ,2011-3-15
40618.00 ,2011-3-16
40619.00 ,2011-3-17
40620.00 ,2011-3-18
40621.00 ,2011-3-19
40622.00 ,2011-3-20
40623.00 ,2011-3-21
40624.00 ,2011-3-22
40625.00 ,2011-3-23
40626.00 ,2011-3-24
40627.00 ,2011-3-25
40628.00 ,2011-3-26
40629.00 ,2011-3-27
40630.00 ,2011-3-28
40631.00 ,2011-3-29
40632.00 ,2011-3-30
40633.00 ,2011-3-31
40634.00 ,2011-4-1
40635.00 ,2011-4-2
40636.00 ,2011-4-3
40637.00 ,2011-4-4
40638.00 ,2011-4-5
40639.00 ,2011-4-6
40640.00 ,2011-4-7
40641.00 ,2011-4-8
40642.00 ,2011-4-9
40643.00 ,2011-4-10
40644.00 ,2011-4-11
40645.00 ,2011-4-12
40646.00 ,2011-4-13
40647.00 ,2011-4-14
40648.00 ,2011-4-15
40649.00 ,2011-4-16
40650.00 ,2011-4-17
40651.00 ,2011-4-18
40652.00 ,2011-4-19
40653.00 ,2011-4-20
40654.00 ,2011-4-21
40655.00 ,2011-4-22
40656.00 ,2011-4-23
40657.00 ,2011-4-24
40658.00 ,2011-4-25
40659.00 ,2011-4-26
40660.00 ,2011-4-27
40661.00 ,2011-4-28
40662.00 ,2011-4-29
40663.00 ,2011-4-30
40664.00 ,2011-5-1
40665.00 ,2011-5-2
40666.00 ,2011-5-3
40667.00 ,2011-5-4
40668.00 ,2011-5-5
40669.00 ,2011-5-6
40670.00 ,2011-5-7
40671.00 ,2011-5-8
40672.00 ,2011-5-9
40673.00 ,2011-5-10
40674.00 ,2011-5-11
40675.00 ,2011-5-12
40676.00 ,2011-5-13
40677.00 ,2011-5-14
40678.00 ,2011-5-15
40679.00 ,2011-5-16
40680.00 ,2011-5-17
40681.00 ,2011-5-18
40682.00 ,2011-5-19
40683.00 ,2011-5-20
40684.00 ,2011-5-21
40685.00 ,2011-5-22
40686.00 ,2011-5-23
40687.00 ,2011-5-24
40688.00 ,2011-5-25
40689.00 ,2011-5-26
40690.00 ,2011-5-27
40691.00 ,2011-5-28
40692.00 ,2011-5-29
40693.00 ,2011-5-30
40694.00 ,2011-5-31
40695.00 ,2011-6-1
40696.00 ,2011-6-2
40697.00 ,2011-6-3
40698.00 ,2011-6-4
40699.00 ,2011-6-5
40700.00 ,2011-6-6
40701.00 ,2011-6-7
40702.00 ,2011-6-8
40703.00 ,2011-6-9
40704.00 ,2011-6-10
40705.00 ,2011-6-11
40706.00 ,2011-6-12
40707.00 ,2011-6-13
40708.00 ,2011-6-14
40709.00 ,2011-6-15
40710.00 ,2011-6-16
40711.00 ,2011-6-17
40712.00 ,2011-6-18
40713.00 ,2011-6-19
40714.00 ,2011-6-20
40715.00 ,2011-6-21
40716.00 ,2011-6-22
40717.00 ,2011-6-23
40718.00 ,2011-6-24
40719.00 ,2011-6-25
40720.00 ,2011-6-26
40721.00 ,2011-6-27
40722.00 ,2011-6-28
40723.00 ,2011-6-29
40724.00 ,2011-6-30
40725.00 ,2011-7-1
40726.00 ,2011-7-2
40727.00 ,2011-7-3
40728.00 ,2011-7-4
40729.00 ,2011-7-5
40730.00 ,2011-7-6
40731.00 ,2011-7-7
40732.00 ,2011-7-8
40733.00 ,2011-7-9
40734.00 ,2011-7-10
40735.00 ,2011-7-11
40736.00 ,2011-7-12
40737.00 ,2011-7-13
40738.00 ,2011-7-14
40739.00 ,2011-7-15
40740.00 ,2011-7-16
40741.00 ,2011-7-17
40742.00 ,2011-7-18
40743.00 ,2011-7-19
40744.00 ,2011-7-20
40745.00 ,2011-7-21
40746.00 ,2011-7-22
40747.00 ,2011-7-23
40748.00 ,2011-7-24
40749.00 ,2011-7-25
40750.00 ,2011-7-26
40751.00 ,2011-7-27
40752.00 ,2011-7-28
40753.00 ,2011-7-29
40754.00 ,2011-7-30
40755.00 ,2011-7-31
40756.00 ,2011-8-1
40757.00 ,2011-8-2
40758.00 ,2011-8-3
40759.00 ,2011-8-4
40760.00 ,2011-8-5
40761.00 ,2011-8-6
40762.00 ,2011-8-7
40763.00 ,2011-8-8
40764.00 ,2011-8-9
40765.00 ,2011-8-10
40766.00 ,2011-8-11
40767.00 ,2011-8-12
40768.00 ,2011-8-13
40769.00 ,2011-8-14
40770.00 ,2011-8-15
40771.00 ,2011-8-16
40772.00 ,2011-8-17
40773.00 ,2011-8-18
40774.00 ,2011-8-19
40775.00 ,2011-8-20
40776.00 ,2011-8-21
40777.00 ,2011-8-22
40778.00 ,2011-8-23
40779.00 ,2011-8-24
40780.00 ,2011-8-25
40781.00 ,2011-8-26
40782.00 ,2011-8-27
40783.00 ,2011-8-28
40784.00 ,2011-8-29
40785.00 ,2011-8-30
40786.00 ,2011-8-31
40787.00 ,2011-9-1
40788.00 ,2011-9-2
40789.00 ,2011-9-3
40790.00 ,2011-9-4
40791.00 ,2011-9-5
40792.00 ,2011-9-6
40793.00 ,2011-9-7
40794.00 ,2011-9-8
40795.00 ,2011-9-9
40796.00 ,2011-9-10
40797.00 ,2011-9-11
40798.00 ,2011-9-12
40799.00 ,2011-9-13
40800.00 ,2011-9-14
40801.00 ,2011-9-15
40802.00 ,2011-9-16
40803.00 ,2011-9-17
40804.00 ,2011-9-18
40805.00 ,2011-9-19
40806.00 ,2011-9-20
40807.00 ,2011-9-21
40808.00 ,2011-9-22
40809.00 ,2011-9-23
40810.00 ,2011-9-24
40811.00 ,2011-9-25
40812.00 ,2011-9-26
40813.00 ,2011-9-27
40814.00 ,2011-9-28
40815.00 ,2011-9-29
40816.00 ,2011-9-30
40817.00 ,2011-10-1
40818.00 ,2011-10-2
40819.00 ,2011-10-3
40820.00 ,2011-10-4
40821.00 ,2011-10-5
40822.00 ,2011-10-6
40823.00 ,2011-10-7
40824.00 ,2011-10-8
40825.00 ,2011-10-9
40826.00 ,2011-10-10
40827.00 ,2011-10-11
40828.00 ,2011-10-12
40829.00 ,2011-10-13
40830.00 ,2011-10-14
40831.00 ,2011-10-15
40832.00 ,2011-10-16
40833.00 ,2011-10-17
40834.00 ,2011-10-18
40835.00 ,2011-10-19
40836.00 ,2011-10-20
40837.00 ,2011-10-21
40838.00 ,2011-10-22
40839.00 ,2011-10-23
40840.00 ,2011-10-24
40841.00 ,2011-10-25
40842.00 ,2011-10-26
40843.00 ,2011-10-27
40844.00 ,2011-10-28
40845.00 ,2011-10-29
40846.00 ,2011-10-30
40847.00 ,2011-10-31
40848.00 ,2011-11-1
40849.00 ,2011-11-2
40850.00 ,2011-11-3
40851.00 ,2011-11-4
40852.00 ,2011-11-5
40853.00 ,2011-11-6
40854.00 ,2011-11-7
40855.00 ,2011-11-8
40856.00 ,2011-11-9
40857.00 ,2011-11-10
40858.00 ,2011-11-11
40859.00 ,2011-11-12
40860.00 ,2011-11-13
40861.00 ,2011-11-14
40862.00 ,2011-11-15
40863.00 ,2011-11-16
40864.00 ,2011-11-17
40865.00 ,2011-11-18
40866.00 ,2011-11-19
40867.00 ,2011-11-20
40868.00 ,2011-11-21
40869.00 ,2011-11-22
40870.00 ,2011-11-23
40871.00 ,2011-11-24
40872.00 ,2011-11-25
40873.00 ,2011-11-26
40874.00 ,2011-11-27
40875.00 ,2011-11-28
40876.00 ,2011-11-29
40877.00 ,2011-11-30
40878.00 ,2011-12-1
40879.00 ,2011-12-2
40880.00 ,2011-12-3
40881.00 ,2011-12-4
40882.00 ,2011-12-5
40883.00 ,2011-12-6
40884.00 ,2011-12-7
40885.00 ,2011-12-8
40886.00 ,2011-12-9
40887.00 ,2011-12-10
40888.00 ,2011-12-11
40889.00 ,2011-12-12
40890.00 ,2011-12-13
40891.00 ,2011-12-14
40892.00 ,2011-12-15
40893.00 ,2011-12-16
40894.00 ,2011-12-17
40895.00 ,2011-12-18
40896.00 ,2011-12-19
40897.00 ,2011-12-20
40898.00 ,2011-12-21
40899.00 ,2011-12-22
40900.00 ,2011-12-23
40901.00 ,2011-12-24
40902.00 ,2011-12-25
40903.00 ,2011-12-26
40904.00 ,2011-12-27
40905.00 ,2011-12-28
40906.00 ,2011-12-29
40907.00 ,2011-12-30
40908.00 ,2011-12-31
40909.00 ,2012-1-1
40910.00 ,2012-1-2
40911.00 ,2012-1-3
40912.00 ,2012-1-4
40913.00 ,2012-1-5
40914.00 ,2012-1-6
40915.00 ,2012-1-7
40916.00 ,2012-1-8
40917.00 ,2012-1-9
40918.00 ,2012-1-10
40919.00 ,2012-1-11
40920.00 ,2012-1-12
40921.00 ,2012-1-13
40922.00 ,2012-1-14
40923.00 ,2012-1-15
40924.00 ,2012-1-16
40925.00 ,2012-1-17
40926.00 ,2012-1-18
40927.00 ,2012-1-19
40928.00 ,2012-1-20
40929.00 ,2012-1-21
40930.00 ,2012-1-22
40931.00 ,2012-1-23
40932.00 ,2012-1-24
40933.00 ,2012-1-25
40934.00 ,2012-1-26
40935.00 ,2012-1-27
40936.00 ,2012-1-28
40937.00 ,2012-1-29
40938.00 ,2012-1-30
40939.00 ,2012-1-31
40940.00 ,2012-2-1
40941.00 ,2012-2-2
40942.00 ,2012-2-3
40943.00 ,2012-2-4
40944.00 ,2012-2-5
40945.00 ,2012-2-6
40946.00 ,2012-2-7
40947.00 ,2012-2-8
40948.00 ,2012-2-9
40949.00 ,2012-2-10
40950.00 ,2012-2-11
40951.00 ,2012-2-12
40952.00 ,2012-2-13
40953.00 ,2012-2-14
40954.00 ,2012-2-15
40955.00 ,2012-2-16
40956.00 ,2012-2-17
40957.00 ,2012-2-18
40958.00 ,2012-2-19
40959.00 ,2012-2-20
40960.00 ,2012-2-21
40961.00 ,2012-2-22
40962.00 ,2012-2-23
40963.00 ,2012-2-24
40964.00 ,2012-2-25
40965.00 ,2012-2-26
40966.00 ,2012-2-27
40967.00 ,2012-2-28
40968.00 ,2012-2-29
40969.00 ,2012-3-1
40970.00 ,2012-3-2
40971.00 ,2012-3-3
40972.00 ,2012-3-4
40973.00 ,2012-3-5
40974.00 ,2012-3-6
40975.00 ,2012-3-7
40976.00 ,2012-3-8
40977.00 ,2012-3-9
40978.00 ,2012-3-10
40979.00 ,2012-3-11
40980.00 ,2012-3-12
40981.00 ,2012-3-13
40982.00 ,2012-3-14
40983.00 ,2012-3-15
40984.00 ,2012-3-16
40985.00 ,2012-3-17
40986.00 ,2012-3-18
40987.00 ,2012-3-19
40988.00 ,2012-3-20
40989.00 ,2012-3-21
40990.00 ,2012-3-22
40991.00 ,2012-3-23
40992.00 ,2012-3-24
40993.00 ,2012-3-25
40994.00 ,2012-3-26
40995.00 ,2012-3-27
40996.00 ,2012-3-28
40997.00 ,2012-3-29
40998.00 ,2012-3-30
40999.00 ,2012-3-31
41000.00 ,2012-4-1
41001.00 ,2012-4-2
41002.00 ,2012-4-3
41003.00 ,2012-4-4
41004.00 ,2012-4-5
41005.00 ,2012-4-6
41006.00 ,2012-4-7
41007.00 ,2012-4-8
41008.00 ,2012-4-9
41009.00 ,2012-4-10
41010.00 ,2012-4-11
41011.00 ,2012-4-12
41012.00 ,2012-4-13
41013.00 ,2012-4-14
41014.00 ,2012-4-15
41015.00 ,2012-4-16
41016.00 ,2012-4-17
41017.00 ,2012-4-18
41018.00 ,2012-4-19
41019.00 ,2012-4-20
41020.00 ,2012-4-21
41021.00 ,2012-4-22
41022.00 ,2012-4-23
41023.00 ,2012-4-24
41024.00 ,2012-4-25
41025.00 ,2012-4-26
41026.00 ,2012-4-27
41027.00 ,2012-4-28
41028.00 ,2012-4-29
41029.00 ,2012-4-30
41030.00 ,2012-5-1
41031.00 ,2012-5-2
41032.00 ,2012-5-3
41033.00 ,2012-5-4
41034.00 ,2012-5-5
41035.00 ,2012-5-6
41036.00 ,2012-5-7
41037.00 ,2012-5-8
41038.00 ,2012-5-9
41039.00 ,2012-5-10
41040.00 ,2012-5-11
41041.00 ,2012-5-12
41042.00 ,2012-5-13
41043.00 ,2012-5-14
41044.00 ,2012-5-15
41045.00 ,2012-5-16
41046.00 ,2012-5-17
41047.00 ,2012-5-18
41048.00 ,2012-5-19
41049.00 ,2012-5-20
41050.00 ,2012-5-21
41051.00 ,2012-5-22
41052.00 ,2012-5-23
41053.00 ,2012-5-24
41054.00 ,2012-5-25
41055.00 ,2012-5-26
41056.00 ,2012-5-27
41057.00 ,2012-5-28
41058.00 ,2012-5-29
41059.00 ,2012-5-30
41060.00 ,2012-5-31
41061.00 ,2012-6-1
41062.00 ,2012-6-2
41063.00 ,2012-6-3
41064.00 ,2012-6-4
41065.00 ,2012-6-5
41066.00 ,2012-6-6
41067.00 ,2012-6-7
41068.00 ,2012-6-8
41069.00 ,2012-6-9
41070.00 ,2012-6-10
41071.00 ,2012-6-11
41072.00 ,2012-6-12
41073.00 ,2012-6-13
41074.00 ,2012-6-14
41075.00 ,2012-6-15
41076.00 ,2012-6-16
41077.00 ,2012-6-17
41078.00 ,2012-6-18
41079.00 ,2012-6-19
41080.00 ,2012-6-20
41081.00 ,2012-6-21
41082.00 ,2012-6-22
41083.00 ,2012-6-23
41084.00 ,2012-6-24
41085.00 ,2012-6-25
41086.00 ,2012-6-26
41087.00 ,2012-6-27
41088.00 ,2012-6-28
41089.00 ,2012-6-29
41090.00 ,2012-6-30
41091.00 ,2012-7-1
41092.00 ,2012-7-2
41093.00 ,2012-7-3
41094.00 ,2012-7-4
41095.00 ,2012-7-5
41096.00 ,2012-7-6
41097.00 ,2012-7-7
41098.00 ,2012-7-8
41099.00 ,2012-7-9
41100.00 ,2012-7-10
41101.00 ,2012-7-11
41102.00 ,2012-7-12
41103.00 ,2012-7-13
41104.00 ,2012-7-14
41105.00 ,2012-7-15
41106.00 ,2012-7-16
41107.00 ,2012-7-17
41108.00 ,2012-7-18
41109.00 ,2012-7-19
41110.00 ,2012-7-20
41111.00 ,2012-7-21
41112.00 ,2012-7-22
41113.00 ,2012-7-23
41114.00 ,2012-7-24
41115.00 ,2012-7-25
41116.00 ,2012-7-26
41117.00 ,2012-7-27
41118.00 ,2012-7-28
41119.00 ,2012-7-29
41120.00 ,2012-7-30
41121.00 ,2012-7-31
41122.00 ,2012-8-1
41123.00 ,2012-8-2
41124.00 ,2012-8-3
41125.00 ,2012-8-4
41126.00 ,2012-8-5
41127.00 ,2012-8-6
41128.00 ,2012-8-7
41129.00 ,2012-8-8
41130.00 ,2012-8-9
41131.00 ,2012-8-10
41132.00 ,2012-8-11
41133.00 ,2012-8-12
41134.00 ,2012-8-13
41135.00 ,2012-8-14
41136.00 ,2012-8-15
41137.00 ,2012-8-16
41138.00 ,2012-8-17
41139.00 ,2012-8-18
41140.00 ,2012-8-19
41141.00 ,2012-8-20
41142.00 ,2012-8-21
41143.00 ,2012-8-22
41144.00 ,2012-8-23
41145.00 ,2012-8-24
41146.00 ,2012-8-25
41147.00 ,2012-8-26
41148.00 ,2012-8-27
41149.00 ,2012-8-28
41150.00 ,2012-8-29
41151.00 ,2012-8-30
41152.00 ,2012-8-31
41153.00 ,2012-9-1
41154.00 ,2012-9-2
41155.00 ,2012-9-3
41156.00 ,2012-9-4
41157.00 ,2012-9-5
41158.00 ,2012-9-6
41159.00 ,2012-9-7
41160.00 ,2012-9-8
41161.00 ,2012-9-9
41162.00 ,2012-9-10
41163.00 ,2012-9-11
41164.00 ,2012-9-12
41165.00 ,2012-9-13
41166.00 ,2012-9-14
41167.00 ,2012-9-15
41168.00 ,2012-9-16
41169.00 ,2012-9-17
41170.00 ,2012-9-18
41171.00 ,2012-9-19
41172.00 ,2012-9-20
41173.00 ,2012-9-21
41174.00 ,2012-9-22
41175.00 ,2012-9-23
41176.00 ,2012-9-24
